2022-02-11 15:12:54.012[1644581574012] | INFO  | restartedMain | com.aus.AusApplication               - Starting AusApplication using Java 18-ea on limpet with PID 45396 (/home/tony/Desktop/aus-master/target/classes started by tony in /home/tony/Desktop/aus-master)
2022-02-11 15:12:54.013[1644581574013] | INFO  | restartedMain | com.aus.AusApplication               - No active profile set, falling back to default profiles: default
2022-02-11 15:12:54.069[1644581574069] | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-02-11 15:12:54.069[1644581574069] | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-02-11 15:12:54.648[1644581574648] | INFO  | restartedMain | o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-02-11 15:12:54.648[1644581574648] | INFO  | restartedMain | o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2022-02-11 15:12:54.668[1644581574668] | INFO  | restartedMain | o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.aus.repository.BalanceRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2022-02-11 15:12:54.669[1644581574669] | INFO  | restartedMain | o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.aus.repository.BinanceRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2022-02-11 15:12:54.670[1644581574670] | INFO  | restartedMain | o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.aus.repository.BitMaxRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2022-02-11 15:12:54.671[1644581574671] | INFO  | restartedMain | o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.aus.repository.CompoundRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2022-02-11 15:12:54.672[1644581574672] | INFO  | restartedMain | o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.aus.repository.LeftTableRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2022-02-11 15:12:54.673[1644581574673] | INFO  | restartedMain | o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.aus.repository.IcoRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2022-02-11 15:12:54.674[1644581574674] | INFO  | restartedMain | o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.aus.repository.UserRepositoryJPA. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2022-02-11 15:12:54.675[1644581574675] | INFO  | restartedMain | o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24 ms. Found 0 JDBC repository interfaces.
2022-02-11 15:12:54.681[1644581574681] | INFO  | restartedMain | o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-02-11 15:12:54.682[1644581574682] | INFO  | restartedMain | o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
